"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jun 05 12:40:58 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","0","demo","","","","","send normal ",""
"skipped","Mon Jun 05 12:40:58 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","0","demo","","","","","send rand ",""
"skipped","Mon Jun 05 12:40:58 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","1","demo","","","","","dasda",""
"passed","Mon Jun 05 12:40:57 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","661","demo","","","","","dd",""
"passed","Mon Jun 05 12:40:58 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","684","demo","","","","","query tx",""
"skipped","Mon Jun 05 12:40:58 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","0","demo","","","","","sadas",""
"skipped","Mon Jun 05 12:40:58 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","0","demo","","","","","sad",""
"skipped","Mon Jun 05 12:40:58 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","0","demo","","","","","decode witnessArgs",""
"skipped","Mon Jun 05 12:40:58 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","1","demo","","","","","cp data",""
"skipped","Mon Jun 05 12:40:58 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","0","demo","","","","","sdasd",""
"broken","Mon Jun 05 15:27:38 GMT 2023","Mon Jun 05 15:27:38 GMT 2023","1","Full Process","","","","","""before all"" hook in ""Full Process""",""
"skipped","Mon Jun 05 12:40:58 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","1","demo","","","","","info",""
"skipped","Mon Jun 05 12:40:58 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","1","demo","","","","","sadad",""
"skipped","Mon Jun 05 12:40:58 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","0","demo","","","","","decode ",""
"passed","Mon Jun 05 12:40:58 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","14","demo","","","","","get account address",""
"skipped","Mon Jun 05 12:40:58 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","0","demo","","","","","dasd",""
"skipped","Mon Jun 05 12:40:57 GMT 2023","Mon Jun 05 12:40:57 GMT 2023","1","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"skipped","Mon Jun 05 12:40:58 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","0","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"skipped","Mon Jun 05 12:40:58 GMT 2023","Mon Jun 05 12:40:58 GMT 2023","1","demo","","","","","transfer ver 2 empty",""
